"position";"variable.name";"mean";"sd";"median"
1;"P02.relev.alin.estr";3,80281690140845;0,623806707925715;4
2;"P09.relev.envolvimento";3,77464788732394;0,590331216923215;4
3;"P06.relev.comite";3,71830985915493;0,589990280586996;4
4;"P07.relev.portifolio";3,69014084507042;0,623161279188041;4
5;"P08.relev.aval.uso";3,64788732394366;0,563118651523962;4
6;"P10.relev.sis.com.trans";3,64788732394366;0,634678581179837;4
7;"P03.relev.monit.desemp";3,61971830985915;0,569867081823186;4
8;"P05.relev.espec.dir";3,6056338028169;0,665021444110459;4
9;"P01.relev.riscos";3,57746478873239;0,60147370993457;4
10;"P04.relev.conformidade";3,57746478873239;0,710371569391398;4
